path,split,class,class_es,size_bytes
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f05d6f9e-357a-47a5-acf1-fc79d4417b96___GCREC_Bact.Sp 5636.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12212
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b6d72c2e-9e41-4215-af23-8e84d94d839f___UF.GRC_BS_Lab Leaf 9065.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10230
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f7964e03-1651-4a72-8f28-be8626513372___GCREC_Bact.Sp 5591.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11657
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ba30a8ef-d2b9-4c5a-8433-d52e0cdfa6fe___GCREC_Bact.Sp 3202.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12628
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e813e60a-25a6-4444-8fb6-eeab328d9ccc___GCREC_Bact.Sp 3573.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14423
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b77be1e3-a6c2-44a9-848c-409fbf071e2c___GCREC_Bact.Sp 3824.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14566
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b4ed0e80-0eac-4d10-9e3e-73e34c41d1ac___GCREC_Bact.Sp 5598.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12224
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fe1532f6-a66d-4705-b0ab-7e5ed6f9b81a___GCREC_Bact.Sp 6346.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14946
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b7b5399c-fbd6-4435-8523-80e9166f1d6a___GCREC_Bact.Sp 6001.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11374
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbda016b-fd39-451d-82e5-08e42ea6bcda___GCREC_Bact.Sp 3285.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14384
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ec86d98d-7fb3-43e9-addb-3686492e5ab9___GCREC_Bact.Sp 3731.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13230
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e0d1e45d-0a01-4d79-8766-11d842cc7155___UF.GRC_BS_Lab Leaf 8804.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11689
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b227ea2d-9b5c-48a3-9746-033207311fc6___GCREC_Bact.Sp 3794.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13971
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a5742cd1-e1a5-4967-a136-c9a2db864fe3___UF.GRC_BS_Lab Leaf 8982.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11051
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e8fa0ef6-3af0-4cb1-b22b-0fe913ec014a___UF.GRC_BS_Lab Leaf 0277.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9095
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c809df76-1ae4-4543-9a2e-ed079ae737df___UF.GRC_BS_Lab Leaf 9231.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11632
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fa3f0b33-f0a0-4625-b7c9-135bea953d91___GCREC_Bact.Sp 6028.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11692
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bced2a31-d2e8-4dff-9cae-05646085abe5___GCREC_Bact.Sp 5710.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13068
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ee6fafa1-2ab6-43c1-83fe-082b265e64f5___GCREC_Bact.Sp 2964.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11053
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/faabf678-fe6e-48a5-b864-57f83ac33aa2___GCREC_Bact.Sp 3187.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15418
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e82d7b9f-9e5a-4d2c-9094-4b3961a062bd___GCREC_Bact.Sp 2976.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12475
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0cc3364e-3f2a-42b2-aefe-5af03dad2966___GCREC_Bact.Sp 5580.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11676
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bac40427-ce12-4369-8866-9e48e2f982da___GCREC_Bact.Sp 6092.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10609
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c3fbdba4-a285-463b-a3fd-26d0d4a4d936___GCREC_Bact.Sp 3677.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14669
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ef588b6e-ce90-4648-b1a4-990dc7dca22d___UF.GRC_BS_Lab Leaf 9288.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9118
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c882b8ca-8b93-44c2-812b-48e811268cc4___GCREC_Bact.Sp 3797.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15641
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbabca53-fd46-46e9-91c0-64232aac8c25___GCREC_Bact.Sp 3816.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10748
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b16f21dc-39eb-45b5-a588-da778fa9ac44___GCREC_Bact.Sp 6351.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13816
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db498ce2-43f3-46e8-a5ab-0af97ba95b3b___GCREC_Bact.Sp 6209.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14099
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a1fcf5e9-e7e3-4c4f-8e7b-416f385fa8f9___GCREC_Bact.Sp 3791.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13406
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/40860ca0-2ec2-43be-817d-ef19ae1c10af___GCREC_Bact.Sp 6097.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13886
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f88ed2e0-d8ed-475e-b96a-09b22cf56684___GCREC_Bact.Sp 3357.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14734
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/cc10d1bc-301a-4f99-85cb-94c73acfbeea___GCREC_Bact.Sp 3397.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14916
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/93330085-955f-4498-8159-77af45f02ea5___GCREC_Bact.Sp 5735.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12563
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ad6dbb38-c44c-40c9-a6d8-8fc1d928e5de___GCREC_Bact.Sp 3775.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9248
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b0a74f61-0012-4b6c-b528-bbce1b79c588___GCREC_Bact.Sp 3805.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14010
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d903df67-fe54-4892-be62-1db1a8bbe6d2___GCREC_Bact.Sp 5942.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11170
