path,split,class,class_es,size_bytes,sharpness,mean_hue,mean_saturation
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f05d6f9e-357a-47a5-acf1-fc79d4417b96___GCREC_Bact.Sp 5636.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12212,873.2952952599153,44.94677734375,51.19956970214844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b6d72c2e-9e41-4215-af23-8e84d94d839f___UF.GRC_BS_Lab Leaf 9065.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10230,176.33467650413513,63.66462707519531,82.44132995605469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f7964e03-1651-4a72-8f28-be8626513372___GCREC_Bact.Sp 5591.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11657,776.8904909491539,38.552154541015625,51.08058166503906
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ba30a8ef-d2b9-4c5a-8433-d52e0cdfa6fe___GCREC_Bact.Sp 3202.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12628,818.5158724328503,87.36344909667969,56.2259521484375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e813e60a-25a6-4444-8fb6-eeab328d9ccc___GCREC_Bact.Sp 3573.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14423,1516.5926052795257,98.43458557128906,43.89430236816406
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b77be1e3-a6c2-44a9-848c-409fbf071e2c___GCREC_Bact.Sp 3824.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14566,1606.039497036254,84.87409973144531,65.178955078125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b4ed0e80-0eac-4d10-9e3e-73e34c41d1ac___GCREC_Bact.Sp 5598.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12224,818.237921115011,33.578338623046875,51.39027404785156
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fe1532f6-a66d-4705-b0ab-7e5ed6f9b81a___GCREC_Bact.Sp 6346.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14946,1375.7824400514364,63.11912536621094,65.39976501464844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b7b5399c-fbd6-4435-8523-80e9166f1d6a___GCREC_Bact.Sp 6001.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11374,578.1373840263113,86.09465026855469,48.415618896484375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbda016b-fd39-451d-82e5-08e42ea6bcda___GCREC_Bact.Sp 3285.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14384,1444.5906352363527,107.9072265625,49.59757995605469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ec86d98d-7fb3-43e9-addb-3686492e5ab9___GCREC_Bact.Sp 3731.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13230,1455.7816964238882,98.29486083984375,59.50346374511719
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e0d1e45d-0a01-4d79-8766-11d842cc7155___UF.GRC_BS_Lab Leaf 8804.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11689,461.6906102746725,64.1944580078125,76.12040710449219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b227ea2d-9b5c-48a3-9746-033207311fc6___GCREC_Bact.Sp 3794.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13971,1076.551740989089,23.152450561523438,97.97906494140625
